Company,Location_HQ,Region,USState,Country,Laid_Off,Date_layoffs,Percentage,Company_Size_before_Layoffs,Company_Size_after_layoffs,Industry,Stage,Money_Raised_in__mil,Year,latitude,longitude,Company_Size_Category
Tamara Mellon,Los Angeles,other,California,USA,20.0,2020-03-12,40.0,50.0,30.0,Retail,Series C,90.0,2020,34.0536909,-118.242766,Small
HopSkipDrive,Los Angeles,other,California,USA,8.0,2020-03-13,10.0,80.0,72.0,Transportation,,45.0,2020,34.0536909,-118.242766,Small
Panda Squad,San Francisco,San Francisco Bay Area,California,USA,6.0,2020-03-13,75.0,8.0,2.0,Consumer,Seed,1.0,2020,37.7792588,-122.4193286,Small
Help.com,Austin,other,Texas,USA,16.0,2020-03-16,100.0,16.0,0.0,Support,Seed,6.0,2020,30.2711286,-97.7436995,Small
Inspirato,Denver,other,Colorado,USA,130.0,2020-03-16,22.0,591.0,461.0,Travel,Series C,79.0,2020,39.7392364,-104.984862,Mid-size
Flytedesk,Boulder,other,Colorado,USA,4.0,2020-03-18,20.0,20.0,16.0,Marketing,Seed,4.0,2020,40.0149856,-105.270545,Small
Remote Year,Chicago,other,Illinois,USA,50.0,2020-03-19,50.0,100.0,50.0,Travel,Series B,17.0,2020,41.8755616,-87.6244212,Small
CTO.ai,Vancouver,Cascadia,British Columbia,Canada,30.0,2020-03-20,50.0,60.0,30.0,Infrastructure,Seed,7.0,2020,49.2608724,-123.113952,Small
Flywheel Sports,New York City,other,New York,USA,784.0,2020-03-20,98.0,800.0,16.0,Fitness,Acquired,120.0,2020,40.7127281,-74.0060152,Mid-size
Compass,New York City,other,New York,USA,375.0,2020-03-23,15.0,2500.0,2125.0,Real Estate,Series G,1600.0,2020,40.7127281,-74.0060152,Large
Convene,New York City,other,New York,USA,150.0,2020-03-23,18.0,833.0,683.0,Real Estate,Series D,280.0,2020,40.7127281,-74.0060152,Mid-size
GrayMeta,Los Angeles,other,California,USA,20.0,2020-03-23,40.0,50.0,30.0,Data,,7.0,2020,34.0536909,-118.242766,Small
